model,tensor_name,layer_type,layer_index,shape,n_params,var_total,rho2_pct,var_row_pct,var_col_pct,row_dominance,svd_r1_pct,compression_gain_bpp,svd_to_cw_ratio,rho2_hadamard_pct,hadamard_ratio,rho2_actweight_pct,actweight_change_pct,time_sec
gemma3-1b,model.embed_tokens.weight,embedding,-1,4096x1152,4718592,0.0009510423988103867,6.2882647815161725,0.07981529490084757,6.208507086573885,1.2692621347782962,7.566977274333597,0.046849185820553314,1.2033490219076164,,,,,0.33
gemma3-1b,model.layers.0.mlp.down_proj.weight,mlp_down,0,1152x6912,7962624,0.00013252634380478412,0.10489570766500922,0.018297635662961487,0.08671207267633442,17.42470858393413,2.6307601148668036,0.0007570597173213226,25.07976897651804,,,,,0.29
gemma3-1b,model.layers.0.mlp.gate_proj.weight,mlp_gate,0,6912x1152,7962624,0.0008163841557689011,0.8401844286066384,0.085811972478379,0.7543848499608531,10.213317902018778,1.1493255931569024,0.006086253373576309,1.3679444108038799,,,,,0.41
gemma3-1b,model.layers.0.mlp.up_proj.weight,mlp_up,0,6912x1152,7962624,0.0008163850870914757,0.10008278558263362,0.08507684455980151,0.01496480294537196,85.04142692712244,0.2872203284854047,0.0007223062045992159,2.8698274814529463,,,,,0.56
gemma3-1b,model.layers.0.self_attn.k_proj.weight,attn_k,0,256x1152,294912,0.0011338327312842011,0.5409080030297053,0.0722730221517444,0.4686472536485005,13.361122772634598,8.87036669077954,0.003912417322005122,16.399030225279184,,,,,0.02
gemma3-1b,model.layers.0.self_attn.o_proj.weight,attn_o,0,1152x1024,1179648,0.0003519022138789296,0.21092907708273323,0.12320899095839245,0.0876762059947931,58.424675007294915,2.353534893556297,0.0015231386038462144,11.157944301027612,,,,,0.08
gemma3-1b,model.layers.0.self_attn.q_proj.weight,attn_q,0,1024x1152,1179648,0.0006646618130616844,0.18171782103605372,0.07820889397294971,0.10347766010369036,43.046054987624,6.920896268036136,0.0013120094350925014,38.08595232199596,,,,,0.09
gemma3-1b,model.layers.0.self_attn.v_proj.weight,attn_v,0,256x1152,294912,0.0011337989708408713,0.47751066071863857,0.08379287056130245,0.3937108113153167,17.548109834879444,1.1180587231685135,0.003452761539603624,2.3414319619291226,,,,,0.04
gemma3-1b,model.layers.1.mlp.down_proj.weight,mlp_down,1,1152x6912,7962624,4.326923954067752e-05,0.09804302391220876,0.01390311031149175,0.08408150052584305,14.189075399373111,2.417088297128711,0.0007075778440243109,24.653342998611087,,,,,0.34
gemma3-1b,model.layers.1.mlp.gate_proj.weight,mlp_gate,1,6912x1152,7962624,0.0009327680454589427,1.3726071279494767,0.0852119047336562,1.287390463757095,6.208054618713152,1.4041597560964791,0.009969848523155649,1.02298737016916,,,,,0.31
gemma3-1b,model.layers.1.mlp.up_proj.weight,mlp_up,1,6912x1152,7962624,0.0009327717125415802,0.10239068010176045,0.08795175181051097,0.014365374832717322,85.95995088602493,0.31877121690208066,0.000738971015398066,3.1132835194108637,,,,,0.59
gemma3-1b,model.layers.1.self_attn.k_proj.weight,attn_k,1,256x1152,294912,0.0012778174132108688,0.5111617977822891,0.08704976312519769,0.424124668332913,17.029365666215092,2.2935251594062955,0.003696709105927903,4.486886870961237,,,,,0.24
gemma3-1b,model.layers.1.self_attn.o_proj.weight,attn_o,1,1152x1024,1179648,0.0004935078322887421,0.23004340441592497,0.14081336930464475,0.08920903735890616,61.21724024503822,6.856106430415765,0.0016613240103435902,29.803534023604218,,,,,0.13
gemma3-1b,model.layers.1.self_attn.q_proj.weight,attn_q,1,1024x1152,1179648,0.0005897502414882183,0.24662864524401806,0.09624203258292775,0.1503630945796624,39.02677681128424,4.322857753767195,0.0017812470539072761,17.527800752788043,,,,,0.04
gemma3-1b,model.layers.1.self_attn.v_proj.weight,attn_v,1,256x1152,294912,0.0012778210220858455,0.49773154201118164,0.09327089108413425,0.4044533910324324,18.73946970951485,1.2162574723675657,0.0035993391090799695,2.4436013587827676,,,,,0.01
gemma3-1b,model.layers.10.mlp.down_proj.weight,mlp_down,10,1152x6912,7962624,0.00014024089614395052,0.10095171034236738,0.014337237324851402,0.08658832056079925,14.205754840707039,0.7869340783039247,0.0007285804785355536,7.79515350096713,,,,,0.45
gemma3-1b,model.layers.10.mlp.gate_proj.weight,mlp_gate,10,6912x1152,7962624,0.0007921911310404539,0.4942342763344487,0.08807891644834875,0.4061461968138259,17.821618951529274,0.9569209162668568,0.003573985922361795,1.9361686594543428,,,,,0.48
gemma3-1b,model.layers.10.mlp.up_proj.weight,mlp_up,10,6912x1152,7962624,0.0007921913056634367,0.10213271477647057,0.08822392037913575,0.013893687350316332,86.39442535010619,0.4341860749916715,0.0007371082840598402,4.251194888356181,,,,,0.5
gemma3-1b,model.layers.10.self_attn.k_proj.weight,attn_k,10,256x1152,294912,0.002821770729497075,0.5510745446169696,0.10607195932777437,0.4449876782914321,19.24872592484668,5.420198542694587,0.0039861560246052495,9.835690281179575,,,,,0.01
gemma3-1b,model.layers.10.self_attn.o_proj.weight,attn_o,10,1152x1024,1179648,0.00028619010117836297,0.19525257598655976,0.10944770488986687,0.08580638061774457,56.0539896542141,2.8086183958521027,0.0014098264250235488,14.38453952098145,,,,,0.09
gemma3-1b,model.layers.10.self_attn.q_proj.weight,attn_q,10,1024x1152,1179648,0.0002670759567990899,0.23612076725082476,0.09744257314548539,0.13870881058576867,41.26275764548446,4.241811446614763,0.001705265335833223,17.9645843777426,,,,,0.15
gemma3-1b,model.layers.10.self_attn.v_proj.weight,attn_v,10,256x1152,294912,0.0028217497747391462,0.47391261046512145,0.08044816890761967,0.39346486056811913,16.9753021976658,0.9790083776822334,0.003426683034831113,2.065799381707496,,,,,0.01
gemma3-1b,model.layers.11.mlp.down_proj.weight,mlp_down,11,1152x6912,7962624,3.903856122633442e-05,0.09786747316472555,0.014615511121210314,0.08326510888816419,14.931976442129724,0.7891498955410858,0.0007063102714062854,8.063454281820773,,,,,0.31
gemma3-1b,model.layers.11.mlp.gate_proj.weight,mlp_gate,11,6912x1152,7962624,0.0009179100161418319,0.7973011826445053,0.08934843254167806,0.7079508675218494,11.206385423210445,1.4090338175250405,0.005774362553673919,1.7672541420941175,,,,,0.33
gemma3-1b,model.layers.11.mlp.up_proj.weight,mlp_up,11,6912x1152,7962624,0.0009179124608635902,0.10350283735507393,0.0886515671576911,0.014912506553940502,85.60069528023439,0.3812804222713684,0.0007470018016025778,3.683767827188722,,,,,0.61
gemma3-1b,model.layers.11.self_attn.k_proj.weight,attn_k,11,256x1152,294912,0.0014512882335111499,0.47809039141870624,0.0919098754471093,0.3861622795556978,19.225105349749896,3.063523248224498,0.003456963489572929,6.407832709487563,,,,,0.01
gemma3-1b,model.layers.11.self_attn.o_proj.weight,attn_o,11,1152x1024,1179648,0.0004882700741291046,0.17958098406183343,0.07989495736404525,0.09972084149662463,44.481029993369745,9.311433124842383,0.0012965675188329217,51.850885958149476,,,,,0.05
gemma3-1b,model.layers.11.self_attn.q_proj.weight,attn_q,11,1024x1152,1179648,0.0005191959207877517,0.2290879599556872,0.08246612286922916,0.14665813636148586,35.99187757163265,3.965706931153634,0.0016544160771764964,17.31084833930481,,,,,0.08
gemma3-1b,model.layers.11.self_attn.v_proj.weight,attn_v,11,256x1152,294912,0.0014512607594951987,0.4754121833897673,0.08921146237717323,0.38620242875054095,18.76500961416116,1.2133645370606905,0.0034375517566762747,2.5522369418663216,,,,,0.04
gemma3-1b,model.layers.12.mlp.down_proj.weight,mlp_down,12,1152x6912,7962624,9.008234337670729e-05,0.09790140768509703,0.01368768416460481,0.08422838281580715,13.978997100999798,0.6826664414973482,0.0007065552970695015,6.972999241166852,,,,,0.39
gemma3-1b,model.layers.12.mlp.gate_proj.weight,mlp_gate,12,6912x1152,7962624,0.0009179050684906542,0.8012751713134092,0.09111373185190084,0.7102245929623971,11.370195213490572,1.348843494440688,0.005803259794634058,1.6833711348246732,,,,,0.46
gemma3-1b,model.layers.12.mlp.up_proj.weight,mlp_up,12,6912x1152,7962624,0.0009179117041639984,0.09906400306970431,0.08463707465598531,0.0144647750336914,85.40413213377371,0.9771834889671149,0.0007149499172984244,9.864163153991871,,,,,0.28
gemma3-1b,model.layers.12.self_attn.k_proj.weight,attn_k,12,256x1152,294912,0.0014660137239843607,0.5275645237395321,0.08491123727483653,0.44262484175684796,16.095816125163385,3.355689392573735,0.0038156474853002823,6.360718436462756,,,,,0.03
gemma3-1b,model.layers.12.self_attn.o_proj.weight,attn_o,12,1152x1024,1179648,0.000652683200314641,0.13384450137037263,0.03517924382878793,0.09866361585930256,26.283989979570215,3.5671607670290983,0.000966130692617123,26.65153017499091,,,,,0.07
gemma3-1b,model.layers.12.self_attn.q_proj.weight,attn_q,12,1024x1152,1179648,0.0005141050787642598,0.23919138231696113,0.08582466521443328,0.15337614852778872,35.87975470138801,4.831558704844918,0.0017274679072364603,20.19955174824169,,,,,0.09
gemma3-1b,model.layers.12.self_attn.v_proj.weight,attn_v,12,256x1152,294912,0.0014660502783954144,0.4830990760466114,0.07335531210514643,0.40972516057378555,15.184905259853112,0.8792121802392083,0.003493267989465399,1.8199417548759258,,,,,0.02
gemma3-1b,model.layers.13.mlp.down_proj.weight,mlp_down,13,1152x6912,7962624,5.441041139420122e-05,0.10098139770610137,0.015278628053140265,0.08564994457573505,15.138060169860267,0.7528174725296655,0.0007287948440352587,7.455011414287244,,,,,0.31
gemma3-1b,model.layers.13.mlp.gate_proj.weight,mlp_gate,13,6912x1152,7962624,0.0008418309153057635,0.8810828246342495,0.08659354808835512,0.7945196216329837,9.827744160916495,1.3764817445992783,0.006383834022538298,1.5622614652268092,,,,,0.37
gemma3-1b,model.layers.13.mlp.up_proj.weight,mlp_up,13,6912x1152,7962624,0.0008418398210778832,0.10112912542320496,0.08680889418506146,0.01432639269765745,85.83442719229048,0.3205215916259774,0.0007298615522242702,3.1694290866717107,,,,,0.79
gemma3-1b,model.layers.13.self_attn.k_proj.weight,attn_k,13,256x1152,294912,0.003367331810295582,0.43078759114901777,0.08135284110139754,0.34943513493097356,18.8846591891145,4.077057220249447,0.003114188201745656,9.464193732634964,,,,,0.01
gemma3-1b,model.layers.13.self_attn.o_proj.weight,attn_o,13,1152x1024,1179648,0.00031411906820721924,0.1161025026385043,0.038304601183595105,0.07780751955205151,32.989321821796274,4.921245813996899,0.0008379890812916989,42.38707781622629,,,,,0.06
gemma3-1b,model.layers.13.self_attn.q_proj.weight,attn_q,13,1024x1152,1179648,0.0002237493172287941,0.2381643628069252,0.06993488757164117,0.16824643939562445,29.36203625284725,5.018343698448269,0.0017200418029987355,21.07092614236553,,,,,0.07
gemma3-1b,model.layers.13.self_attn.v_proj.weight,attn_v,13,256x1152,294912,0.003367406316101551,0.4675410878869357,0.08443099861326221,0.38309981919255476,18.058916203536675,0.7532358966829356,0.0033805048415287615,1.6110581854681587,,,,,0.03
gemma3-1b,model.layers.14.mlp.down_proj.weight,mlp_down,14,1152x6912,7962624,6.156293966341764e-05,0.09685449228744591,0.014216284599073519,0.08271356651923982,14.666570138151775,0.7847991550348321,0.0006989960377555715,8.102867884596368,,,,,0.35
gemma3-1b,model.layers.14.mlp.gate_proj.weight,mlp_gate,14,6912x1152,7962624,0.0008163661696016788,0.8553401253641346,0.08738446086591833,0.7680070234438858,10.215727239373543,1.4989557546324916,0.006196513359119482,1.7524674806929672,,,,,0.34
gemma3-1b,model.layers.14.mlp.up_proj.weight,mlp_up,14,6912x1152,7962624,0.0008163875318132341,0.10158689597489223,0.08692221182899834,0.014721340437327736,85.51670016534356,0.35937191016802705,0.0007331670191037324,3.537581365384447,,,,,0.49
gemma3-1b,model.layers.14.self_attn.k_proj.weight,attn_k,14,256x1152,294912,0.0029871752485632896,0.4426250719028024,0.07510374116462663,0.36753962156133135,16.967099811936777,6.749969852508341,0.003199952112173845,15.249858810507217,,,,,0.01
gemma3-1b,model.layers.14.self_attn.o_proj.weight,attn_o,14,1152x1024,1179648,0.0006945511559024453,0.1527199538596813,0.0819305163127421,0.07078788254994972,53.6480980175842,9.351084221372263,0.0011024836711118879,61.23027138918609,,,,,0.06
gemma3-1b,model.layers.14.self_attn.q_proj.weight,attn_q,14,1024x1152,1179648,0.0002521896967664361,0.22297306966324593,0.08735637984342666,0.13561505003882207,39.178283912678666,5.151920155341994,0.0016102065406172117,23.105571283217696,,,,,0.07
gemma3-1b,model.layers.14.self_attn.v_proj.weight,attn_v,14,256x1152,294912,0.0029871987644582987,0.448833628827483,0.08238723974557209,0.36643198031967616,18.35644198427929,1.2367858218364947,0.003244937898472873,2.7555551598649815,,,,,0.02
