tensor_name,layer_type,layer_index,shape,n_params,var_total,var_explained_cw,var_row_pct,var_col_pct,var_explained_svd1,compression_gain_bpp,svd_to_cw_ratio,time_sec
model.embed_tokens.weight,embedding,-1,4096x4096,16777216,0.00048517948016524315,1.6718554296655697,0.024594309568161454,1.6471505068191745,1.7535759836795006,0.012161837530910392,1.0488801558818264,2.64
model.layers.0.mlp.down_proj.weight,mlp_down,0,4096x4096,16777216,0.0007025302038528025,0.04741752619045192,0.02428185969709228,0.022942433474921697,0.6618307526795264,0.00034212626974971567,13.957513304707023,2.19
model.layers.0.mlp.gate_proj.weight,mlp_gate,0,4096x4096,16777216,0.0006483066827058792,0.4395113444062293,0.02466574744817749,0.4147773908193378,0.7754302367965926,0.0031773918097603884,1.7643008460775518,3.22
model.layers.0.mlp.up_proj.weight,mlp_up,0,4096x4096,16777216,0.0005762208602391183,0.04962927547419449,0.025089795993391874,0.02449806677105474,0.5618690681555849,0.0003580884137421082,11.321323206657278,2.37
model.layers.0.self_attn.k_proj.weight,attention_k,0,1024x4096,4194304,0.0008293198770843446,0.12709502725615218,0.02512314710551042,0.10197053672328973,3.6980548215456155,0.000917379923419085,29.096770356659306,1.26
model.layers.0.self_attn.o_proj.weight,attention_o,0,4096x4096,16777216,0.0006115598953329027,0.052786274883243056,0.02964798978317652,0.023004362945252134,1.80145239247127,0.0003808730181905906,34.12728775530889,2.47
model.layers.0.self_attn.q_proj.weight,attention_q,0,4096x4096,16777216,0.0006779417162761092,0.051309570316693254,0.02553811407238054,0.025730679323503147,4.134349510419688,0.0003702152992940844,80.57657635606047,2.39
model.layers.0.self_attn.v_proj.weight,attention_v,0,1024x4096,4194304,0.0006472219247370958,0.12010769131702848,0.023733846269422956,0.09640134580870474,1.020294639942454,0.0008669145729973983,8.494831835950874,1.31
model.layers.1.mlp.down_proj.weight,mlp_down,1,4096x4096,16777216,0.0002801744849421084,0.047866760876646985,0.023752223725531908,0.02402222412130526,4.304451458428627,0.0003453683576197123,89.92568913366065,2.45
model.layers.1.mlp.gate_proj.weight,mlp_gate,1,4096x4096,16777216,0.0004549632139969617,2.9131259740576287,0.023854578080540104,2.8892888892357464,3.1376960870608928,0.021325917941383294,1.0770890497023256,2.44
model.layers.1.mlp.up_proj.weight,mlp_up,1,4096x4096,16777216,0.00021984954946674407,0.04974865544263851,0.02475774320751064,0.025065387673314423,0.6762247617234429,0.0003589499862908976,13.592824885551885,3.26
model.layers.1.self_attn.k_proj.weight,attention_k,1,1024x4096,4194304,0.0006322786794044077,0.1146240747381011,0.02468505778125637,0.08987876881248869,1.7255209236645364,0.0008273121610441072,15.053739169603716,1.31
model.layers.1.self_attn.o_proj.weight,attention_o,1,4096x4096,16777216,0.0006371861090883613,0.049539709141710464,0.026333738361810976,0.02313914351473548,0.4231928897457715,0.00035744200870683893,8.542498474006177,3.45
model.layers.1.self_attn.q_proj.weight,attention_q,1,4096x4096,16777216,0.0005284590879455209,0.052132107364166735,0.024357983766377888,0.027809740881128718,1.4586177761175656,0.00037615172025751983,27.979259804873223,3.01
model.layers.1.self_attn.v_proj.weight,attention_v,1,1024x4096,4194304,0.0007181017426773906,0.12148114428153223,0.024681046231885835,0.09686798781413296,0.44943703718861583,0.0008768339239236167,3.699644416807984,2.06
model.layers.2.mlp.down_proj.weight,mlp_down,2,4096x4096,16777216,0.00026816310128197074,0.04960921483296854,0.023952101127390026,0.02564926274429635,2.5981435805226383,0.0003579436349659591,52.37219716680546,2.31
model.layers.2.mlp.gate_proj.weight,mlp_gate,2,4096x4096,16777216,0.0003226408443879336,2.0950120671793027,0.023624402817966003,2.071333525921095,2.3719010121685313,0.01527286634107649,1.1321657995803471,2.13
model.layers.2.mlp.up_proj.weight,mlp_up,2,4096x4096,16777216,0.00025969214038923383,0.04819031903560145,0.02397168222243861,0.02433824800428339,1.483957686049242,0.00034770345789101285,30.79368876875337,2.66
model.layers.2.self_attn.k_proj.weight,attention_k,2,1024x4096,4194304,0.0006997582968324423,0.12956509847645847,0.027740047463220015,0.10174781474052126,1.580790589829717,0.0009352206158926165,12.20074393812884,1.93
model.layers.2.self_attn.o_proj.weight,attention_o,2,4096x4096,16777216,0.0006573489517904818,0.04531057668578642,0.020944595744117528,0.02452528501756792,0.38989308758905494,0.0003269207918644359,8.604902345269894,4.0
model.layers.2.self_attn.q_proj.weight,attention_q,2,4096x4096,16777216,0.0006238075438886881,0.05052752037616459,0.02542069506007526,0.025153138747083824,1.5283079705422087,0.00036457112750928883,30.247040803988458,2.06
model.layers.2.self_attn.v_proj.weight,attention_v,2,1024x4096,4194304,0.0007596046198159456,0.1234951234905246,0.02625580313897136,0.09718553607331945,0.43643222234540646,0.0008913795296514038,3.5340036918857978,1.69
model.layers.3.mlp.down_proj.weight,mlp_down,3,4096x4096,16777216,0.0003694752522278577,0.04964130572545633,0.0249922637925162,0.0246591709701817,0.8443597234839895,0.0003581752367561271,17.009216642160105,2.17
model.layers.3.mlp.gate_proj.weight,mlp_gate,3,4096x4096,16777216,0.0005767047987319529,1.5293236693473045,0.02456255939816787,1.504765308855838,1.7437892483608497,0.011116963894002527,1.1402355716531063,1.91
model.layers.3.mlp.up_proj.weight,mlp_up,3,4096x4096,16777216,0.0003064130141865462,0.048678458219775234,0.02356861516749759,0.024932412019949668,0.44181501142702695,0.00035122634408079863,9.076191555457752,3.33
model.layers.3.self_attn.k_proj.weight,attention_k,3,1024x4096,4194304,0.0006640015635639429,0.11892217899515112,0.02374063436681457,0.0951279993667521,1.5389534614373312,0.0008583526765137918,12.94084479817747,1.35
model.layers.3.self_attn.o_proj.weight,attention_o,3,4096x4096,16777216,0.0006724984268657863,0.04726732785530485,0.022825211266308463,0.024457185413093597,0.3795384023761783,0.0003410423046079319,8.02961410338288,4.09
model.layers.3.self_attn.q_proj.weight,attention_q,3,4096x4096,16777216,0.0006111724651418626,0.05094352183452333,0.024282043478358956,0.026791155922403467,1.704439047496209,0.0003675734669666542,33.45742473464305,1.97
model.layers.3.self_attn.v_proj.weight,attention_v,3,1024x4096,4194304,0.0007833599811419845,0.12198672286313217,0.02337861442242868,0.09858774890916361,0.4345906502055241,0.0008804853475074507,3.5626061591402065,1.66
model.layers.4.mlp.down_proj.weight,mlp_down,4,4096x4096,16777216,0.0005258994642645121,0.04808030739520408,0.02467879972487057,0.02344042205086695,0.8860884828802651,0.00034690950948120485,18.429343132041847,2.0
model.layers.4.mlp.gate_proj.weight,mlp_gate,4,4096x4096,16777216,0.0010492195142433047,1.5557888306169665,0.02468859019445502,1.5311511016587989,1.7922932997465724,0.011310860646222129,1.152015790623601,2.3
model.layers.4.mlp.up_proj.weight,mlp_up,4,4096x4096,16777216,0.00047061758232302964,0.048168564869277564,0.024402390165398632,0.023778126353175517,0.32108275513416107,0.00034754645911050337,6.665815267810712,3.76
model.layers.4.self_attn.k_proj.weight,attention_k,4,1024x4096,4194304,0.000711881264578551,0.12466039527140316,0.0232907106834525,0.10129959462425962,1.4287391015615936,0.0008997956312597767,11.461050628397482,1.05
model.layers.4.self_attn.o_proj.weight,attention_o,4,4096x4096,16777216,0.0007014578441157937,0.04461887415718735,0.019717336878604174,0.024915325573627824,0.48043452385947427,0.00032192896826577455,10.767517848320347,2.6
model.layers.4.self_attn.q_proj.weight,attention_q,4,4096x4096,16777216,0.0006505697383545339,0.04906634809925814,0.023100362304686362,0.026107797324460308,1.5916980846460649,0.0003540257462436298,32.439709623919015,1.91
model.layers.4.self_attn.v_proj.weight,attention_v,4,1024x4096,4194304,0.0007952961605042219,0.12139279828771166,0.0251383299888819,0.09628042963479183,0.3148601249027938,0.0008761958674513217,2.593729853368628,2.28
model.layers.5.mlp.down_proj.weight,mlp_down,5,4096x4096,16777216,0.0006045954069122672,0.049225608869662985,0.024757774587802917,0.024362587130735726,0.4956482603226675,0.0003551751347400972,10.068910709363074,2.11
model.layers.5.mlp.gate_proj.weight,mlp_gate,5,4096x4096,16777216,0.001110475859604776,0.8422131867198757,0.025255903424616425,0.8168643099084121,1.3061791409051393,0.006101011918627439,1.550888969088988,2.43
model.layers.5.mlp.up_proj.weight,mlp_up,5,4096x4096,16777216,0.0005965650198049843,0.04967357989030807,0.024928832421181366,0.02469092123686653,0.14056842863814367,0.00035840816130840777,2.8298429255260964,4.23
model.layers.5.self_attn.k_proj.weight,attention_k,5,1024x4096,4194304,0.0006800695555284619,0.11897969667666874,0.024556992359838305,0.09450345968763571,2.1950004091001563,0.000858768073001244,18.44852920633293,0.8
model.layers.5.self_attn.o_proj.weight,attention_o,5,4096x4096,16777216,0.0006575585575774312,0.0473675218668701,0.022820604570487846,0.024539314355729556,0.560318546668781,0.000341765393773047,11.829171647264923,3.33
model.layers.5.self_attn.q_proj.weight,attention_q,5,4096x4096,16777216,0.0006495174602605402,0.051762649968079,0.024340399960372582,0.027422451295382497,1.3319257102103577,0.00037348526333727175,25.73140500016382,2.53
model.layers.5.self_attn.v_proj.weight,attention_v,5,1024x4096,4194304,0.0007664061267860234,0.12658394166460418,0.023211769645991795,0.10336904209546437,0.4326502687155509,0.0009136885380428291,3.417892214653085,3.01
model.layers.6.mlp.down_proj.weight,mlp_down,6,4096x4096,16777216,0.0006442835438065231,0.04935535830878912,0.024538595380737563,0.0248234946735705,0.3206522211288032,0.00035611154066112513,6.496806671378211,2.25
model.layers.6.mlp.gate_proj.weight,mlp_gate,6,4096x4096,16777216,0.0010008353274315596,0.6390519604843936,0.022808687331593115,0.616299674396396,0.7982999923951684,0.004624577988443845,1.249194184131861,2.27
model.layers.6.mlp.up_proj.weight,mlp_up,6,4096x4096,16777216,0.0006370478076860309,0.05062864124641964,0.02536482225527046,0.02516940755187037,0.1229065591520806,0.000365300929519215,2.427609276612224,6.4
model.layers.6.self_attn.k_proj.weight,attention_k,6,1024x4096,4194304,0.0006915040430612862,0.12302241364841038,0.02504638737822023,0.09796879244283793,1.2817345787849321,0.0008879654407625917,10.418707784811,1.24
model.layers.6.self_attn.o_proj.weight,attention_o,6,4096x4096,16777216,0.0007129746954888105,0.04171016748399925,0.017020051825357634,0.024720698981741045,0.8142434912184138,0.0003009380241598587,19.52146299893837,2.27
model.layers.6.self_attn.q_proj.weight,attention_q,6,4096x4096,16777216,0.0006842925795353949,0.05295993376009944,0.02391610816954826,0.029087208313659078,1.1012634895928963,0.00038212636487619436,20.794276189646588,3.39
model.layers.6.self_attn.v_proj.weight,attention_v,6,1024x4096,4194304,0.0007924965466372669,0.11955942374385353,0.024249725128846066,0.09537657151270142,0.3013411489415474,0.0008629549134519571,2.5204299210001766,2.27
model.layers.7.self_attn.k_proj.weight,attention_k,7,1024x4096,4194304,0.0006939654122106731,0.13196351187507727,0.027744310889354012,0.10429775980290189,1.1618928502744597,0.0009525441644923939,8.804652390384707,1.38
model.layers.7.self_attn.q_proj.weight,attention_q,7,4096x4096,16777216,0.0006509075756184757,0.05687454521602353,0.025051700867479897,0.032023470725023914,1.0086382285020346,0.0004103798335772284,17.73444033127611,2.74
model.layers.7.self_attn.v_proj.weight,attention_v,7,1024x4096,4194304,0.0009086840436793864,0.11896043276461432,0.023390783235039323,0.09562056053297874,0.3525861074953007,0.0008586289477318945,2.963893954496273,2.45
